00:00:16.927 [scheduling-1] INFO  c.f.s.DailyScheduled - [morningCheck,24] - 开始进行晨检......
09:46:49.970 [main] INFO  o.a.c.c.AprLifecycleListener - [log,173] - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
09:46:50.063 [main] INFO  o.a.c.c.AprLifecycleListener - [log,173] - OpenSSL successfully initialized [OpenSSL 1.1.1c  28 May 2019]
09:46:50.211 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
09:46:50.212 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - [prepareWebApplicationContext,285] - Root WebApplicationContext: initialization completed in 1863 ms
09:46:51.065 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - [initialize,181] - Initializing ExecutorService 'applicationTaskExecutor'
09:46:51.345 [main] INFO  o.s.s.c.ThreadPoolTaskScheduler - [initialize,181] - Initializing ExecutorService 'taskScheduler'
09:46:51.385 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-8888"]
09:46:51.400 [main] INFO  o.s.s.c.ThreadPoolTaskScheduler - [shutdown,218] - Shutting down ExecutorService 'taskScheduler'
09:46:51.402 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - [shutdown,218] - Shutting down ExecutorService 'applicationTaskExecutor'
09:46:51.406 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Pausing ProtocolHandler ["http-nio-8888"]
09:46:51.407 [main] INFO  o.a.c.c.StandardService - [log,173] - Stopping service [Tomcat]
09:46:51.417 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Stopping ProtocolHandler ["http-nio-8888"]
09:46:51.417 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Destroying ProtocolHandler ["http-nio-8888"]
09:46:51.426 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - [logMessage,136] - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
09:49:56.151 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.1.5.Final
09:49:56.171 [main] INFO  c.f.FuckwzxyApplication - [logStarting,55] - Starting FuckwzxyApplication on DESKTOP-KSVGB5Q with PID 6500 (E:\fuckwzxy\target\classes started by Dakuang in E:\fuckwzxy)
09:49:56.172 [main] INFO  c.f.FuckwzxyApplication - [logStartupProfileInfo,651] - No active profile set, falling back to default profiles: default
09:49:57.655 [main] INFO  o.s.b.w.e.t.TomcatWebServer - [initialize,108] - Tomcat initialized with port(s): 8888 (http)
09:49:57.665 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8888"]
09:49:57.666 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
09:49:57.666 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.38]
09:49:57.668 [main] INFO  o.a.c.c.AprLifecycleListener - [log,173] - Loaded Apache Tomcat Native library [1.2.23] using APR version [1.7.0].
09:49:57.669 [main] INFO  o.a.c.c.AprLifecycleListener - [log,173] - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
09:49:57.669 [main] INFO  o.a.c.c.AprLifecycleListener - [log,173] - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
09:49:57.673 [main] INFO  o.a.c.c.AprLifecycleListener - [log,173] - OpenSSL successfully initialized [OpenSSL 1.1.1c  28 May 2019]
09:49:57.773 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
09:49:57.773 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - [prepareWebApplicationContext,285] - Root WebApplicationContext: initialization completed in 1520 ms
09:49:58.524 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - [initialize,181] - Initializing ExecutorService 'applicationTaskExecutor'
09:49:58.736 [main] INFO  o.s.s.c.ThreadPoolTaskScheduler - [initialize,181] - Initializing ExecutorService 'taskScheduler'
09:49:58.776 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-8888"]
09:49:58.791 [main] INFO  o.s.s.c.ThreadPoolTaskScheduler - [shutdown,218] - Shutting down ExecutorService 'taskScheduler'
09:49:58.793 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - [shutdown,218] - Shutting down ExecutorService 'applicationTaskExecutor'
09:49:58.797 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Pausing ProtocolHandler ["http-nio-8888"]
09:49:58.797 [main] INFO  o.a.c.c.StandardService - [log,173] - Stopping service [Tomcat]
09:49:58.801 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Stopping ProtocolHandler ["http-nio-8888"]
09:49:58.802 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Destroying ProtocolHandler ["http-nio-8888"]
09:49:58.811 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - [logMessage,136] - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
09:50:10.340 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.1.5.Final
09:50:10.366 [main] INFO  c.f.FuckwzxyApplication - [logStarting,55] - Starting FuckwzxyApplication on DESKTOP-KSVGB5Q with PID 2100 (E:\fuckwzxy\target\classes started by Dakuang in E:\fuckwzxy)
09:50:10.367 [main] INFO  c.f.FuckwzxyApplication - [logStartupProfileInfo,651] - No active profile set, falling back to default profiles: default
09:50:11.872 [main] INFO  o.s.b.w.e.t.TomcatWebServer - [initialize,108] - Tomcat initialized with port(s): 8888 (http)
09:50:11.882 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8888"]
